,Date,Price,market_cap,total_volume
62,2020-11-15 00:00:00+00:00,0.5492303310037232,8824492.927344583,1366658.9890645277
63,2020-11-16 00:00:00+00:00,0.5459012031639795,8759384.078813365,1207379.76774282
64,2020-11-17 00:00:00+00:00,0.5517071598332397,8869953.887749437,1427868.0010503284
65,2020-11-18 00:00:00+00:00,0.5490921101535304,8830470.236850848,1578079.1758501187
66,2020-11-19 00:00:00+00:00,0.5453276941038862,8726580.918986188,1501624.6532598718
67,2020-11-20 00:00:00+00:00,0.5509854787518362,8882246.771258336,1500898.993541154
68,2020-11-21 00:00:00+00:00,0.5394467734188976,8838287.208644077,2055171.1958563668
69,2020-11-22 00:00:00+00:00,0.5487335846713558,8845456.02106842,2659831.494561062
70,2020-11-23 00:00:00+00:00,0.5572082215833575,9042943.310955323,2827942.547907844
71,2020-11-24 00:00:00+00:00,0.5589594467333489,9079547.79971032,3030660.5333365207
72,2020-11-25 00:00:00+00:00,0.549466308943343,8458168.898797685,3267256.8159439373
73,2020-11-26 00:00:00+00:00,0.5250224622513566,8147584.392754319,1387003.934812421
74,2020-11-27 00:00:00+00:00,0.5079157453969304,7510736.543522317,2010653.6555052884
75,2020-11-28 00:00:00+00:00,0.506437571872502,7530815.29171659,889213.2386528158
76,2020-11-29 00:00:00+00:00,0.5027750032128729,7492153.752590853,995957.0136099142
77,2020-11-30 00:00:00+00:00,0.5136280705915662,7672650.63710534,988922.6623873516
78,2020-12-01 00:00:00+00:00,0.5081579609871263,7632702.936701783,1297996.9442278123
79,2020-12-02 00:00:00+00:00,0.497575299141975,7232214.99691866,1702969.0498741334
80,2020-12-03 00:00:00+00:00,0.5077592347658599,7514921.378465711,1164985.8890600526
81,2020-12-04 00:00:00+00:00,0.4965300780846425,7365451.882901802,1122232.0311443969
82,2020-12-05 00:00:00+00:00,0.5149157522138537,7534849.006548512,794584.4705123894
83,2020-12-06 00:00:00+00:00,0.5171779614104509,7811649.73943008,925851.8526590244
84,2020-12-07 00:00:00+00:00,0.5239017068323119,8033595.80304529,855556.0289444539
85,2020-12-08 00:00:00+00:00,0.5513853795252385,8899274.13447898,1821294.2486549004
86,2020-12-09 00:00:00+00:00,0.6381893548199318,12553955.300116315,13616458.463947847
87,2020-12-10 00:00:00+00:00,0.6115779298741999,11402289.351496084,3096667.814253312
88,2020-12-11 00:00:00+00:00,0.6344238843111767,12157228.359825598,3208196.060763964
89,2020-12-12 00:00:00+00:00,0.6167890864227584,11946205.324436154,3108764.235445388
90,2020-12-13 00:00:00+00:00,0.6658866377007723,13756336.154842984,3881495.133122671
91,2020-12-14 00:00:00+00:00,0.7137252981373843,15911354.755161935,5569420.601884148
92,2020-12-15 00:00:00+00:00,0.6951632253074135,15124223.040003505,3074679.2838506866
93,2020-12-16 00:00:00+00:00,0.6745038142537049,13956739.389404569,2299143.1116314824
94,2020-12-17 00:00:00+00:00,0.6605662033910787,13796651.180600388,1866555.711402899
95,2020-12-18 00:00:00+00:00,0.649315848956451,13060662.31857307,2034310.44647561
96,2020-12-19 00:00:00+00:00,0.6304657464837377,12070647.476979049,1384152.2020436288
97,2020-12-20 00:00:00+00:00,0.6397487146366917,12552305.412327234,1533477.3838986158
98,2020-12-21 00:00:00+00:00,0.6216554272951619,12075273.177939853,1446721.9003838596
99,2020-12-22 00:00:00+00:00,0.6079238956732265,11429537.23071441,1323554.0199845089
100,2020-12-23 00:00:00+00:00,0.6162965418550563,11474290.77687701,1223898.3785589826
101,2020-12-24 00:00:00+00:00,0.5989482914852864,11748046.4304707,932190.5359024936
102,2020-12-25 00:00:00+00:00,0.6262502939693957,12143620.73108545,1123895.1867123116
103,2020-12-26 00:00:00+00:00,0.620216777977393,11816903.010117237,753290.3131534175
104,2020-12-27 00:00:00+00:00,0.6064242646696223,11366253.86846876,987309.4406542834
105,2020-12-28 00:00:00+00:00,0.6066070696063535,11484510.78041641,861094.4930867914
106,2020-12-29 00:00:00+00:00,0.5999611635332369,11041939.34732354,1205637.473947493
107,2020-12-30 00:00:00+00:00,0.5908885216076917,10472747.687712137,985849.7583897228
108,2020-12-31 00:00:00+00:00,0.5821996732099937,10248572.307848075,1190183.4511148678
109,2021-01-01 00:00:00+00:00,0.5737683577457648,10196226.313627165,731348.1439319148
110,2021-01-02 00:00:00+00:00,0.5776772585138555,10308056.3107959,1069978.667220109
111,2021-01-03 00:00:00+00:00,0.6089866217044866,11396469.670710508,1764298.4770533994
112,2021-01-04 00:00:00+00:00,0.5914766851879266,10812650.63590506,1449062.4058945111
113,2021-01-05 00:00:00+00:00,0.5659856001255973,10161947.534276713,1596574.486609858
114,2021-01-06 00:00:00+00:00,0.567466645719136,10023282.701895488,1219022.2304439584
115,2021-01-07 00:00:00+00:00,0.5530178030083583,9245176.110305486,1263708.2471207385
116,2021-01-08 00:00:00+00:00,0.5320232931882074,8485753.662122855,1325968.1642695183
117,2021-01-09 00:00:00+00:00,0.5395171273898572,8734578.53751937,1040277.8969149376
118,2021-01-10 00:00:00+00:00,0.5499505225848373,9043878.331771543,1041945.1485844342
119,2021-01-11 00:00:00+00:00,0.5359103989768528,8922377.642795414,1403057.9184937684
120,2021-01-12 00:00:00+00:00,0.5312507187124469,8494659.571562622,1429836.349655136
121,2021-01-13 00:00:00+00:00,0.5192075035619833,8295631.250106091,574390.5330236653
122,2021-01-14 00:00:00+00:00,0.5243982621426078,8312189.269271205,817728.4914175365
123,2021-01-15 00:00:00+00:00,0.5311772262690628,8523764.302681783,1582798.0168167604
124,2021-01-16 00:00:00+00:00,0.5296165458688791,8535199.68238631,1105113.9439761492
125,2021-01-17 00:00:00+00:00,0.5447348012413377,8821689.009998344,1040836.6456832072
126,2021-01-18 00:00:00+00:00,0.5321782884083085,8606216.91274277,1080076.04143646
127,2021-01-19 00:00:00+00:00,0.5336742743116761,8729777.921025438,1369189.7579381156
128,2021-01-20 00:00:00+00:00,0.5406508466851075,9006785.828003453,992400.7238849672
129,2021-01-21 00:00:00+00:00,0.5503804062585355,9223089.513078852,874662.6452214894
130,2021-01-22 00:00:00+00:00,0.5528064779781083,9975856.977423226,2599933.2077370053
131,2021-01-23 00:00:00+00:00,0.5746062664068139,10152876.094337758,1007485.5739613742
132,2021-01-24 00:00:00+00:00,0.5852114220272705,10393689.394336382,1171139.8530197283
